Date,AS51 Index,SX5E Index,MXEF Index,NKY Index,UKX Index,TX60AR Index,SPX Index,FNRET Index,I05500CA Index,I05510CA Index,LEATTREU Index,LECPTREU Index,LSG1TRGU Index,LC61TRGU Index,I38292JP Index,SPBJPCPT Index,I12877US Index,BEMUTRUU Index,BATY0 Index,BACR0 Index,LUATTRUU Index,LUACTRUU Index,LF98TRUU Index,LUMSTRUU Index
1/30/04,3271.997,2839.13,457.19,10783.61,4390.7,889.89,1131.13,#N/A N/A,108.8665,112.2252,137.657,138.7813,123.8149,133.91,#N/A N/A,87.052,122.5498,#N/A N/A,4462.054,4081.851,1338.69,1447.76,705.47,1190.05
2/27/04,3360.598,2893.18,477.73,11041.92,4492.2,916.98,1144.94,#N/A N/A,110.3387,113.8025,139.5145,140.6521,125.1186,134.95,#N/A N/A,87.321,123.1676,#N/A N/A,4526.031,4121.945,1355.28,1465.79,703.7,1200.08
3/31/04,3415.258,2787.49,482.06,11715.39,4385.7,891.01,1126.21,#N/A N/A,110.9268,114.2131,140.8544,142.0269,125.8933,135.43,#N/A N/A,86.95,125.9259,#N/A N/A,4566.396,4163.212,1368,1479.63,708.48,1205.34
4/30/04,3400.793,2787.48,441.3,11761.79,4489.7,854.99,1107.31,#N/A N/A,109.5991,113.092,139.3747,140.9,124.3672,134.07,#N/A N/A,86.841,121.4708,#N/A N/A,4513.852,4138.786,1324,1433.11,703.66,1183.88
5/31/04,3460.21,2749.62,431.26,11236.37,4430.7,870.95,1120.68,#N/A N/A,109.0068,112.2397,138.9905,140.5575,123.5453,132.66,#N/A N/A,86.993,120.9967,#N/A N/A,4557.376,4174.72,1319.45,1422.74,691.74,1181.29
6/30/04,3532.885,2811.08,432.2,11858.87,4464.1,890.26,1140.84,#N/A N/A,108.8258,112.097,139.4094,140.9352,124.6398,133.76,#N/A N/A,86.558,102.0604,#N/A N/A,4571.432,4192.405,1324.75,1429.02,701.66,1191.74
7/30/04,3536.142,2720.05,423.14,11325.78,4413.1,884.88,1101.72,#N/A N/A,109.813,113.1055,140.7053,142.2242,125.2329,134.45,#N/A N/A,86.463,103.7603,#N/A N/A,4592.178,4210.211,1337.36,1446.8,711.2,1202.42
8/31/04,3552.686,2670.79,439.75,11081.79,4459.3,879.01,1104.24,#N/A N/A,111.5375,114.9349,142.5835,144.2459,127.2689,136.97,#N/A N/A,87.244,106.9499,#N/A N/A,4662.678,4260.189,1365.02,1481.2,725.15,1220.96
9/30/04,3665.044,2726.3,464.15,10823.57,4570.8,912.42,1114.58,#N/A N/A,111.8587,115.3154,143.1846,144.9277,128.3693,138.72,#N/A N/A,87.614,108.5184,#N/A N/A,4697.021,4289.132,1368.53,1490.32,735.68,1222.82
10/29/04,3778.638,2811.72,474.27,10771.42,4624.2,940.34,1130.2,#N/A N/A,113.1806,116.6188,144.5377,146.123,129.6761,140.38,#N/A N/A,87.66,110.4191,#N/A N/A,4733.67,4317.56,1379.38,1504.87,748.97,1232.67
11/30/04,3931.318,2876.39,517.95,10899.25,4703.2,950.97,1173.82,#N/A N/A,113.8271,117.7764,146.167,147.5873,131.3712,142.83,#N/A N/A,87.839,111.8228,#N/A N/A,4789.236,4363.826,1360.85,1489.56,758,1229.6
12/31/04,4050.604,2951.01,542.17,11488.76,4814.3,973.9,1211.92,#N/A N/A,115.1886,119.3835,147.1691,148.4119,132.2697,143.98,#N/A N/A,87.997,113.4032,#N/A N/A,4784.749,4364.792,1374.34,1509.94,769.3,1238.26
1/31/05,4107.252,2984.59,542.28,11387.59,4852.3,964.75,1181.27,#N/A N/A,116.3536,120.5047,149.0772,150,132.0246,144.72,#N/A N/A,88.328,114.2529,#N/A N/A,4785.627,4372.028,1384.37,1521.97,768.3,1244.85
2/28/05,4172.752,3058.32,588.68,11740.6,4968.5,1014.21,1203.6,#N/A N/A,116.2145,120.6493,148.1919,149.7415,131.6473,145.11,#N/A N/A,88.041,115.8601,#N/A N/A,4768.664,4368.095,1373.07,1512.9,779.6,1239.08
3/31/05,4109.826,3055.73,548.69,11668.95,4894.4,1019.87,1180.59,#N/A N/A,116.536,120.642,149.0602,149.9628,132.1427,144.1,#N/A N/A,88.494,114.752,#N/A N/A,4772.718,4379.496,1368.6,1492.85,756.93,1236.78
4/29/05,3983.169,2930.1,531.99,11008.9,4801.7,998.32,1156.85,#N/A N/A,118.061,121.9602,151.228,151.484,134.1099,145.29,#N/A N/A,88.767,115.6253,#N/A N/A,4855.242,4437.223,1392.66,1512.21,749.55,1250.47
5/31/05,4106.437,3076.7,548.15,11276.59,4964,1028.33,1191.5,#N/A N/A,120.087,123.9913,152.907,152.8045,136.4431,147.96,#N/A N/A,88.799,116.9657,#N/A N/A,4910.565,4475.964,1409.67,1533,762.86,1260.32
6/30/05,4277.494,3181.54,565.17,11584.01,5113.2,1066,1191.33,#N/A N/A,121.7966,125.93,154.604,154.3885,138.4089,150.75,#N/A N/A,89.099,118.6177,#N/A N/A,4939.446,4500.737,1418.31,1545.57,777.83,1264.89
7/29/05,4388.829,3326.51,602.56,11899.6,5282.3,1124.23,1234.18,#N/A N/A,121.287,125.7818,153.8787,154.0947,137.5541,150.47,#N/A N/A,88.784,119.2853,#N/A N/A,4958.554,4525.118,1399.08,1530.31,791.43,1258.55
8/31/05,4446.782,3263.78,606.23,12413.6,5296.9,1155.49,1220.33,#N/A N/A,122.82,127.3793,155.4394,155.42,139.4571,152.76,#N/A N/A,88.731,121.2705,#N/A N/A,4999.602,4559.965,1421.3,1553.74,792.94,1269.7
9/30/05,4641.163,3428.51,661.32,13574.3,5477.7,1195.82,1228.81,#N/A N/A,121.9249,126.3934,155.3189,155.2918,138.9394,152.14,#N/A N/A,88.342,122.642,#N/A N/A,4957.35,4546.697,1402.44,1528.65,785.03,1263.02
10/31/05,4459.666,3320.15,617.41,13606.5,5317.3,1130.02,1207.01,#N/A N/A,120.7346,125.1052,153.6548,153.7848,139.1239,151.79,#N/A N/A,88.165,121.4357,#N/A N/A,4959.901,4560.605,1391.47,1511,779.55,1254.22
11/30/05,4634.806,3447.07,667.99,14872.15,5423.2,1181.37,1249.48,#N/A N/A,122.0269,126.0196,153.5562,153.656,140.8768,153.93,#N/A N/A,88.517,123.1277,#N/A N/A,4999.066,4591.84,1398.22,1519.88,783.62,1258.3
12/30/05,4763.367,3578.93,706.48,16111.43,5618.8,1229.95,1248.29,#N/A N/A,123.1592,126.9291,155.059,154.2856,142.7603,156.18,#N/A N/A,88.408,125.2148,#N/A N/A,5049.825,4628.612,1412.71,1535.25,790.35,1270.61
1/31/06,4929.559,3691.41,783.77,16649.82,5760.3,1304.27,1280.09,#N/A N/A,122.0817,126.1897,153.9553,153.6942,143.8086,157.08,#N/A N/A,88.307,125.3341,#N/A N/A,5049.257,4644.408,1408.5,1532.02,802.96,1274.7
2/28/06,4921.347,3774.51,782.11,16205.43,5791.5,1279.73,1280.66,#N/A N/A,122.6355,126.529,154.2012,153.7875,143.9539,157.18,#N/A N/A,87.985,127.3769,#N/A N/A,5078.863,4669.858,1410.55,1538.94,808.32,1280.64
3/31/06,5129.708,3853.74,787.8,17059.66,5964.6,1327.87,1294.83,294.65,122.373,126.3519,152.0324,152.1633,141.7859,155.01,#N/A N/A,87.45,124.9878,#N/A N/A,5078.766,4681.194,1395.33,1517.25,813.16,1269.78
4/28/06,5258.803,3839.9,841.58,16906.23,6023.1,1334.05,1310.61,281.44,121.02,125.4899,150.7939,151.6447,139.8048,153.48,#N/A N/A,87.268,124.5313,#N/A N/A,5040.668,4664.69,1389.58,1511.94,818.17,1269.85
5/31/06,5001.671,3637.17,751,15467.33,5723.8,1281.63,1270.09,269.59,121.4667,125.9619,151.2307,152.1457,140.8428,154.33,#N/A N/A,87.424,123.6404,#N/A N/A,5059.972,4684.308,1390.04,1509.39,818.06,1267.44
6/30/06,5073.883,3648.92,747.54,15505.18,5833.4,1277.35,1270.2,276.94,120.9791,125.3482,150.7738,151.4162,139.9761,153.27,#N/A N/A,87.238,123.4089,#N/A N/A,5069.169,4693.514,1394.47,1511.29,815.19,1269.89
7/31/06,4985.998,3691.87,755.84,15456.81,5928.3,1305.89,1276.66,284.4,123.5623,127.7166,152.4419,152.985,141.8403,154.99,#N/A N/A,87.292,126.5012,#N/A N/A,5073.65,4699.636,1411.74,1533.37,823.17,1288.08
8/31/06,5115.439,3808.7,773.12,16140.76,5906.1,1336.75,1303.82,290.17,125.6116,129.8108,154.2576,154.4625,143.3556,156.42,#N/A N/A,88.333,129.0835,#N/A N/A,5131.622,4744.351,1432.46,1561.94,836.52,1306.8
9/29/06,5154.078,3899.41,778.16,16127.58,5960.8,1321.93,1335.85,299.65,126.9185,131.173,155.1805,155.0169,143.9564,157,#N/A N/A,88.396,129.871,#N/A N/A,5178.307,4779.986,1445.76,1579.83,848.38,1315.94
10/31/06,5384.382,4004.8,814.44,16399.39,6129.2,1382.41,1377.94,319.44,127.2721,131.6981,155.6215,155.5233,145.1857,158.61,#N/A N/A,88.361,131.5198,#N/A N/A,5164.476,4777.363,1453.1,1592.61,859.92,1325.48
11/30/06,5482.058,3987.23,874.08,16274.33,6048.8,1441.81,1400.63,335.16,128.6097,133.1949,156.4373,156.4415,145.3094,158.99,#N/A N/A,88.526,133.3127,#N/A N/A,5203.857,4812.614,1468.28,1615.96,874.37,1340.68
12/29/06,5669.867,4119.94,912.65,17225.83,6220.8,1465.66,1418.3,329.23,127.5843,132.4438,154.6796,155.1169,143.5129,157.36,#N/A N/A,88.548,133.7177,#N/A N/A,5171.142,4811.059,1456.21,1601.26,883.97,1336.99
1/31/07,5773.385,4178.54,901.48,17383.42,6203.1,1477.17,1438.24,363.05,127.2168,132.4984,153.9321,155.0674,141.4068,156.01,#N/A N/A,88.835,133.6355,#N/A N/A,5188.444,4838.377,1453.89,1601.38,893.84,1337.85
2/28/07,5832.53,4087.12,895.54,17604.12,6171.5,1471.73,1406.82,363.25,128.8836,134.2277,155.5105,156.6191,143.9144,158.81,#N/A N/A,88.983,136.1911,#N/A N/A,5261.343,4886.879,1478,1634.36,906.34,1354.35
3/30/07,5995.049,4181.03,929.03,17287.65,6308,1492.22,1420.86,358.7,128.516,133.7998,154.7777,156.2309,142.3011,157.05,#N/A N/A,89.078,135.9317,#N/A N/A,5239.405,4882.496,1477.28,1624.99,907.3,1357.92
4/30/07,6166.017,4392.34,969.93,17400.41,6449.2,1519.57,1482.37,361.56,128.7293,133.1043,154.6086,156.164,141.8246,156.94,#N/A N/A,89.256,137.4251,#N/A N/A,5273.189,4916.845,1484.89,1636.91,919.09,1364.62
5/31/07,6313.496,4512.65,1014.79,17875.75,6621.4,1600.19,1530.62,345.44,126.819,131.2251,152.8887,154.9697,140.3508,155.84,#N/A N/A,88.986,136.8716,#N/A N/A,5271.02,4925.195,1471.56,1620.55,925.96,1356.78
6/29/07,6274.932,4489.77,1059.69,18138.36,6607.9,1594.28,1503.35,303.79,126.5878,130.8737,151.9651,154.3639,138.5092,153.71,#N/A N/A,88.767,135.7487,#N/A N/A,5247.198,4912.509,1470.92,1612.62,909.33,1351.08
7/31/07,6144.166,4315.69,1112.77,17248.89,6360.1,1595.52,1455.28,280.49,127.1959,130.3575,154.1919,154.9556,142.2131,154.62,#N/A N/A,89.085,133.7313,#N/A N/A,5307.824,4931.429,1495.31,1616.35,877.13,1360.23
8/31/07,6247.202,4294.56,1086.98,16569.09,6303.3,1586.26,1473.99,306.06,128.3492,131.282,155.6379,155.4991,144.4194,155.09,#N/A N/A,89.713,134.7132,#N/A N/A,5363.017,4963.644,1518.75,1629.43,889.09,1376.24
9/28/07,6567.75,4381.71,1204.9,16785.69,6466.8,1637.65,1526.75,323.33,129.4418,131.646,155.6187,155.2895,144.4467,155.24,#N/A N/A,89.675,136.2157,#N/A N/A,5340.035,4970.587,1526.94,1641.98,912.36,1386.81
